Name,Category,Description,Address,Phone,WhatsApp,BusinessHours,WeeklyOff,TopProducts,Facebook,Instagram,Website,Latitude,Longitude,ImageURL,Slug,OriginalURL,DateAdded,Status
Oleee oleee MELE BABU NE THANA THAYA (RESTAURANT),Restaurants,"Must visit once 

Only veg 

Awesome test",Gosala chowk near B.N.M.U COLLEGE,916284755464,,9am opening time and closing time 9pm,,"Daal ,chawal ,papar ,ghee,sabjii",,,,25.932916,86.795526,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519155317-scaled.jpg,oleee-oleee-mele-babu-ne-thana-thaya-restaurant,https://mymadhepura.com/listing/oleee-oleee-mele-babu-ne-thana-thaya-restaurant/,2023-05-19,Published
B.N.M.U UNIVERSITY,Colleges,B.N.M.U (BUPENDRA NARAYAN MANDAL UNIVERSITY,Goushala chowk,916204604539,916204604539,,,"Exam important,",,,,25.932916,86.795526,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519155109-scaled.jpg,b-n-m-u-university,https://mymadhepura.com/listing/b-n-m-u-university/,2023-05-19,Published
DARJEELING PUBLIC SCHOOL,Schools,Nursery to 10+2 school,Goushala chowk near Krishna mandir,919472533451,919472533451,8am opening time and 1pm close,,Schools nursery to 10+2,,,,25.933426,86.795412,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519153137-scaled.jpg,darjeeling-public-school,https://mymadhepura.com/listing/darjeeling-public-school/,2023-05-19,Published
S.A.K.N.D College MADHEPURA,Colleges,संत अवध कॉलेज मधेपुरा,Singeshwar road near Nanhe kadam play school,919431440847,919431440847,9am opening time and closing time 3pm,,COLLEGE,,,,25.933426,86.795412,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519152814-scaled.jpg,s-a-k-n-d-college-madhepura,https://mymadhepura.com/listing/s-a-k-n-d-college-madhepura/,2023-05-19,Published
M.I academy MADHEPURA,Training Institute,"Class 6th to 12th ( CBSE AND BSEB) 

CTET , STET, GNM ,ITI ,ED , POLYTECHNIC",Near sant awad college,919570271688,919570271688,9am opening time and closing time 2pm close,,Education,,,,25.933134,86.795491,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519152705-scaled.jpg,m-i-academy-madhepura,https://mymadhepura.com/listing/m-i-academy-madhepura/,2023-05-19,Published
NANHE KADAM PLAY SCHOOL,Schools,"Junior play school for class
Nursery
Juniors k.G
Senior K.G
Std 1
Std 2
Std 3
Std 4
Std 5",Sant awad college near MaDhEpuRa,919162286733,919162286733,7am to 1pm,Sunday close,Kids play schools,,,,25.93312,86.795494,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519152632-1-scaled.jpg,nanhe-kadam-play-school,https://mymadhepura.com/listing/nanhe-kadam-play-school/,2023-05-19,Published
जय बाबा सिंगेश्वर वाष्णव होटल,Restaurants,For simple food,Sant awad chowk MaDhEpuRa,917542972376,917542972376,9am opening time and closing time 9pm,,"Hamare yaha khana littti , samosha ,sattu and water",,,,25.933426,86.795412,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519152446-scaled.jpg,%e0%a4%9c%e0%a4%af-%e0%a4%ac%e0%a4%be%e0%a4%ac%e0%a4%be-%e0%a4%b8%e0%a4%bf%e0%a4%82%e0%a4%97%e0%a5%87%e0%a4%b6%e0%a5%8d%e0%a4%b5%e0%a4%b0-%e0%a4%b5%e0%a4%be%e0%a4%b7%e0%a5%8d%e0%a4%a3%e0%a4%b5,https://mymadhepura.com/listing/%e0%a4%9c%e0%a4%af-%e0%a4%ac%e0%a4%be%e0%a4%ac%e0%a4%be-%e0%a4%b8%e0%a4%bf%e0%a4%82%e0%a4%97%e0%a5%87%e0%a4%b6%e0%a5%8d%e0%a4%b5%e0%a4%b0-%e0%a4%b5%e0%a4%be%e0%a4%b7%e0%a5%8d%e0%a4%a3%e0%a4%b5/,2023-05-20,Published
Dr. Herendra kumar,Doctors,"Born baby , treatment",Sant awad chowk,919473155078,919473155078,9am opening time and closing time 6pm,,Born bby treatment are here,,,,25.933426,86.795412,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519152307-scaled.jpg,dr-herendra-kumar,https://mymadhepura.com/listing/dr-herendra-kumar/,2023-05-20,Published
Dr.Ramesh kumar yadav,Doctors,Homeopathy physician medicine 💊,"Singeshwar road MaDhEpuRa,bihar",919939484011,919939484011,,,Homeopathy physician,,,,25.933601,86.795364,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519152221-scaled.jpg,dr-ramesh-kumar-yadav,https://mymadhepura.com/listing/dr-ramesh-kumar-yadav/,2023-05-20,Published
Dev shastri hospital,Doctors,"Dr.sanjeev kumar bharti
MBBS, MS (GENERAL SURGERY)
NMCH,(PATNA)
Senior resident-
Medical College Madhepura",Near Kiran public school ward no 4,919709510555,919709510555,9am opening time and closing time 6pm,Sunday close,General surgery,,,,25.92483,86.786438,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519151945-scaled.jpg,dev-shastri-hospital,https://mymadhepura.com/listing/dev-shastri-hospital/,2023-05-20,Published
Durga Marvel and tiles store,Home Decor,Tiles and marvels are the best,Near Kiran public school ward no 4,919278896383,919278896383,9am opening time and closing time 9pm,,Tiles and Marvel,,,,25.932916,86.795526,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519151602-scaled.jpg,durga-marvel-and-tiles-store,https://mymadhepura.com/listing/durga-marvel-and-tiles-store/,2023-05-20,Published
PRAGATI PUBLIC SCHOOL,Schools,"Class - play to 8th cbse school 

Must visit once",Near Kiran public school ward no 4,918002065502,918002065502,8am opening time and 1pm close,,Class - play to 8th (CBSE),,,,25.933624,86.795356,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519151442-scaled.jpg,pragati-public-school,https://mymadhepura.com/listing/pragati-public-school/,2023-05-20,Published
Dr. Anand lab,Doctors,MICROBIOLOGIST,Near Kiran public school ward no 4,917485867275,,,,MBBS (MICROBIOLOGY LAB),,,,25.932916,86.795526,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519151202-scaled.jpg,dr-anand-lab,https://mymadhepura.com/listing/dr-anand-lab/,2023-05-20,Published
Kiran public school,Schools,10+ 2 school,Singeshwar road,919471692986,919471692986,,Sunday close,10+2 senior school,,,,25.933426,86.795412,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519150953-scaled.jpg,kiran-public-school,https://mymadhepura.com/listing/kiran-public-school/,2023-05-20,Published
Savitri paper house and Saadi card,Printing Press,Printing press and sAdiii card,Nh131 ، 852113 Madhepura، India,,,,,,,,,25.933426,86.795412,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519150627-scaled.jpg,savitri-paper-house-and-saadi-card,https://mymadhepura.com/listing/savitri-paper-house-and-saadi-card/,2023-05-20,Published
FRANKE FABER,Banquets,"FIBER INDUCTION, FIBER HOMETHEATER , 
AND MANY MORE ITEMS,MADHEPURA",By pass road near petrol pump,918572394680,918572394680,9am opening time and closing time 9pm,,"FIBER induction , Home theatre",,,,25.933168,86.795481,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519150528-scaled.jpg,franke-faber,https://mymadhepura.com/listing/franke-faber/,2023-05-20,Published
A-one biology classes,Education,"Biology 11th 12th 
Science 9th 10th",College chowk near by pass road,918877643047,918877643047,9am opening time and closing time 9pm,,Biology 11th and 12th science 9th § 10th,,,,25.933168,86.795481,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519150508-scaled.jpg,a-one-biology-classes,https://mymadhepura.com/listing/a-one-biology-classes/,2023-05-20,Published
PRESTIGE,Others,Only prestige item are available here,By pass road,919431412129,919431412129,,Sunday close,"Cooker, jug , only prestige item are available here",,,,25.933896,86.795264,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519145829-scaled.jpg,prestige,https://mymadhepura.com/listing/prestige/,2023-05-21,Published
DEZIRE,Fashion,Must visit once,Purani bazar near foot point,918548291460,918548291460,9am opening time and closing time 9pm,,"Boys, jeans, shirts, denims, jacket, half pent",,,,25.933175,86.79548,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230521114326-1-scaled.jpg,dezire,https://mymadhepura.com/listing/dezire/,2023-05-21,Published
Hindustan steel and industries,Fashion,Steel dukan,Purani bazar main road,919570441910,919570441910,9am opening time and closing time 9pm,,"Trunk,Godrage,baksha,kothi,meetcase,dram",,,,25.933159,86.795484,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230521114121-scaled.jpg,hindustan-steel-and-industries,https://mymadhepura.com/listing/hindustan-steel-and-industries/,2023-05-21,Published
New Hindustan steel works industries,Grocery,Best steel,Purani bazar MaDhEpuRa,919570441910,919570441910,9am opening time and closing time 9pm,,"Baksha, kothi,Godrage ,etc",,,,25.933652,86.795347,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230521114103-scaled.jpg,new-hindustan-steel-works-industries,https://mymadhepura.com/listing/new-hindustan-steel-works-industries/,2023-05-21,Published
Sunil Makeup palace and gift corner,Fashion,"All makeup products are available here 
And gifts are also available here",Purani bazar main road MaDhEpuRa,9100000,91000000,9am opening time and closing time 9pm,,"Gifts , and make-up products",,,,25.933652,86.795347,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230521113905-scaled.jpg,sunil-makeup-palace-and-gift-corner,https://mymadhepura.com/listing/sunil-makeup-palace-and-gift-corner/,2023-05-21,Published
PAWAN HANS EYE CLINIC,Doctors,"Dr zahid aktar and Dr Sanjay Kumar
Eye surgeon",Chaiti Durga chowk by-pass road ward no 7,919572188936,919572188936,9am opening time and closing time 7pm,,Eye clinic,,,,25.932535,86.795561,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519145630-scaled.jpg,pawan-hans-eye-clinic,https://mymadhepura.com/listing/pawan-hans-eye-clinic/,2023-05-21,Published
RADIANT PUBLIC SCHOOL,Schools,Nursery to 8th cbse school,Near sant awad,919534749032,91953479032,,Sunday close,Nursery to 8th classes here CBSE SCHOOL,,,,25.932399,86.795573,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519145522-scaled.jpg,radiant-public-school,https://mymadhepura.com/listing/radiant-public-school/,2023-05-21,Published
S.S.V PLAZA HOSPITAL,Doctors,Hospital 24×7 emergency services,By pass road near petrol pump,919110913174,919110913174,24x7,,"ICU , CCU ,NICU, PICU 24×7 SERVICE AVAILABLE",,,,25.932399,86.795573,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519145454-scaled.jpg,s-s-v-plaza-hospital,https://mymadhepura.com/listing/s-s-v-plaza-hospital/,2023-05-21,Published
ONE TRACT COACHING,Education,All subjects coaching centre,By pass road,919304550245,919304550245,9am opening time and closing time 9pm,,"Class 6,7,8,9,10 CBSE ,BSEB,ICSE COACHING",,,,25.932399,86.795573,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519145320-scaled.jpg,one-tract-coaching,https://mymadhepura.com/listing/one-tract-coaching/,2023-05-21,Published
VRINDAVAN HOSPITAL,Hospitals,"Dr Barun kumar

Dr.rasmi bharti (MBBS)",By pass road near petrol pump,919386045452,919386045452,9am opening time and closing time 8pm,,"Men's,and women's doctor",,,,25.932399,86.795573,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519145229-scaled.jpg,vrindavan-hospital,https://mymadhepura.com/listing/vrindavan-hospital/,2023-05-21,Published
AYUSH NURSING HOME,Hospitals,Emergency hospital,By pass road near petrol pump,918877210832,918877210832,24hours,,24 hours ambulance services available,,,,25.932399,86.795573,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519144224-scaled.jpg,ayush-nursing-home,https://mymadhepura.com/listing/ayush-nursing-home/,2023-05-21,Published
Car accessories,Automobile,Car accessories shop,By pass road near petrol pump,917992416278,917992146278,9am opening time and closing time 10pm,,Car all accessories,,,,25.932399,86.795573,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519144051-scaled.jpg,car-accessories,https://mymadhepura.com/listing/car-accessories/,2023-05-21,Published
NEW BUS STAND,Cabs &amp,New bus stand MADHEPURA,By pass road saharsha wali road,9100000,9100000,24hours,,"Bus,and cabs are here",,,,25.932399,86.795573,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519143707-scaled.jpg,new-bus-stand,https://mymadhepura.com/listing/new-bus-stand/,2023-05-21,Published
HOTEL HEMCHANDRA PALACE,Hotels,Good service,Sahara wali road near jawed clinic,918572193460,918572193460,,,All types of low budget and high budget rooms are available here AC/non AC,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519143536-scaled.jpg,hotel-hemchandra-palace,https://mymadhepura.com/listing/hotel-hemchandra-palace/,2023-05-23,Published
TVS SHOWROOM,Showrooms,TVS SHOWROOM ALL TVS BIKES ARE AVAILABLE HERE,Bypass road,917250698039,917250698039,10am opening and closing time 9pm,,Bikes,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230523213621-scaled.jpg,tvs-showroom,https://mymadhepura.com/listing/tvs-showroom/,2023-05-23,Published
SUBHMANGLAM MARRIAGE HALL,Hotels,Marriage hall,Japalpati chowk Madhepura,919582205552,919582205552,24hours,,"Saadi , reception , birthday party ,saminar, anniversary party",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230523213609-scaled.jpg,subhmanglam-marriage-hall,https://mymadhepura.com/listing/subhmanglam-marriage-hall/,2023-05-23,Published
Car King Accessories,Automobile,Car accessories,Japalpati chowk Madhepura,919528093450,919528093450,10am opening and closing time 9pm,,Car accessories shop,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230523213509-scaled.jpg,car-king-accessories,https://mymadhepura.com/listing/car-king-accessories/,2023-05-23,Published
B.N MANDAL STADIUM MADHEPURA,Others,Stadium,Near children park,910000,910000,6pm opening time and 9pm close,,Stadium,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230523213340-scaled.jpg,b-n-mandal-stadium-madhepura,https://mymadhepura.com/listing/b-n-mandal-stadium-madhepura/,2023-05-23,Published
Nagar parisad MaDhEpuRa,Government,Nagar parishad Madhepura Bihar,Near bus stand Madhepura,910000,9100000,9am opening time and closing time 6pm,,Nagar parishad,,,,,,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230523213237-scaled.jpg,nagar-parisad-madhepura,https://mymadhepura.com/listing/nagar-parisad-madhepura/,2023-05-24,Published
Collectorate Madhepura,Government,Collectorate office Madhepura,Near bus stand Madhepura,910000,910000,9am opening time and closing time 6pm,,Collectorate office Madhepura,,,,,,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230523213154-scaled.jpg,collectorate-madhepura,https://mymadhepura.com/listing/collectorate-madhepura/,2023-05-24,Published
CIVIL COURT MADHEPURA,Government,Lawyers are here contact,Near bus stand Madhepura,910000,910000,,,Lawyers are here,,,,,,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230523213112-scaled.jpg,civil-court-madhepura,https://mymadhepura.com/listing/civil-court-madhepura/,2023-05-24,Published
B.k hotel and CANTEEN,Restaurants,Best canteen,Near collectorate office Madhepura,919473128706,919473128706,,,"Samosha,litti, non veg, and many more items",,,,,,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230523213035-scaled.jpg,b-k-hotel-and-canteen,https://mymadhepura.com/listing/b-k-hotel-and-canteen/,2023-05-24,Published
Ved vyas college Madhepura,Colleges,Ved vyas college Madhepura Bihar,Amleshwar nagar Madhepura,916476223113,916476223113,,,College,,,,25.933112,86.795497,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230523212921-scaled.jpg,ved-vyas-college-madhepura,https://mymadhepura.com/listing/ved-vyas-college-madhepura/,2023-05-25,Published
Prince veshnav hotel,Hotels,"Khana , nasta , cold ki ...uttam praband",Bus stand Madhepura,919934026051,919934026051,,,Sudh and sakahari bozan,,,,25.932916,86.795526,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230525182240-scaled.jpg,prince-veshnav-hotel,https://mymadhepura.com/listing/prince-veshnav-hotel/,2023-05-26,Published
MARUTI SUZUKI GENUINE PARTS,Automobile,Accessories,Bus stand Madhepura,918210483632,918210483632,9am opening time and closing time 9pm,,Maruti Suzuki car accessories,,,,25.932916,86.795526,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230525182720-scaled.jpg,maruti-suzuki-genuine-parts,https://mymadhepura.com/listing/maruti-suzuki-genuine-parts/,2023-05-26,Published
ASHIRWAD HOSPITAL,Hospitals,Hospital,College chowk near gollambar,919570601495,919570601495,10am opening and closing time 9pm,,General physician and surgeon,,,,25.932916,86.795526,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230525175729-scaled.jpg,ashirwad-hospital,https://mymadhepura.com/listing/ashirwad-hospital/,2023-05-26,Published
PSM HOSPITAL,Hospitals,Eye doctor,College chowk near gollambar,919431600628,919431600628,10am opening and closing time 9pm,,Eye doctor,,,,25.932535,86.795561,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230525175703-scaled.jpg,psm-hospital,https://mymadhepura.com/listing/psm-hospital/,2023-05-26,Published
DENTAL HOSPITAL orthodontic &amp; implant centre,Dentists,Dentist,College chowk near gollambar road MaDhEpuRa,916202839341,916202839341,,,Dental clinic,,,,25.932916,86.795526,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230525175607-scaled.jpg,dental-hospital-orthodontic-implant-centre,https://mymadhepura.com/listing/dental-hospital-orthodontic-implant-centre/,2023-05-26,Published
FREEDOM CLASSES PHYSICS,Education,"Best coaching 

Physics",College chowk near gollambar,918678095675,918678095675,,,Coaching for physics students,,,,25.933601,86.795364,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230525175550-scaled.jpg,freedom-classes-physics,https://mymadhepura.com/listing/freedom-classes-physics/,2023-05-26,Published
ADITYA HOSPITAL,Hospitals,"TRUMA CARE, ICU, NICU,baby care",College CHOWK NEAR friend zone chai,918969218181,918969218181,,,"24 hours ambulance services , TRUMA CARE,",,,,25.932916,86.795526,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230525175528-scaled.jpg,aditya-hospital,https://mymadhepura.com/listing/aditya-hospital/,2023-05-26,Published
MADHEPURA LAB,Hospitals,"Madhepura lab 

All types of test are here ...",College chowk near gollambar,918862971899,918862971899,9am opening time and closing time 9pm,,The pathological laboratory,,,,25.932916,86.795526,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230525175451-scaled.jpg,madhepura-lab,https://mymadhepura.com/listing/madhepura-lab/,2023-05-26,Published
R.M.S Dygnosis,Hospitals,"Blood test, urine test, and many other test are here",College chowk Madhepura,919122140701,919122140701,,,The pathological lab,,,,25.933426,86.795412,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230525175427-scaled.jpg,r-m-s-dygnosis,https://mymadhepura.com/listing/r-m-s-dygnosis/,2023-05-26,Published
SAi Hospital and kidney care centre,Doctors,"Dr khusboo prakash 
Dr Santosh parakash",College chowk near gollambar,919162279415,919162279415,,,A multi speciality hospital women's doctor,,,,25.933426,86.795412,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230525175415-scaled.jpg,sai-hospital-and-kidney-care-centre,https://mymadhepura.com/listing/sai-hospital-and-kidney-care-centre/,2023-05-26,Published
CUSTOMER SERVICE POINT SBI,Government,SBI customer care point,College chowk near shiv mandir Madhepura,917903682175,917903682175,9am opening time and closing time 9pm,Sunday close,Customer care point SBI bank,,,,25.933426,86.795412,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230525175220-scaled.jpg,customer-service-point-sbi,https://mymadhepura.com/listing/customer-service-point-sbi/,2023-05-26,Published
"PARWATI SCIENCE COLLEGE, MADHEPURA",Colleges,College,College chowk near gollambar,9100000,9100000,9am opening time and closing time 6pm,,College,,,,25.933426,86.795412,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230525175119-scaled.jpg,parwati-science-college-madhepura,https://mymadhepura.com/listing/parwati-science-college-madhepura/,2023-05-26,Published
Maa anupurna bhog canteen,Restaurants,"Canteen 
SAMOSHA, KACHORI, chowmein, khana, nasta",Bus stand Madhepura,919939219396,919939219396,9am opening time and closing time 9pm,,"Khana, nasta ,fastfood",,,,25.933426,86.795412,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230523212908-scaled.jpg,maa-anupurna-bhog-canteen,https://mymadhepura.com/listing/maa-anupurna-bhog-canteen/,2023-05-26,Published
SUNIL SAJAWAT KAKAJ KENDRA,Grocery,"Puja path waala har saman tha milta h ...

Must visit once.",Main market near chanda mama dresses,919661448882,91966144882,,,Puja path wala saman,,,,25.933218,86.795468,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230527181619-scaled.jpg,sunil-sajawat-kakaj-kendra,https://mymadhepura.com/listing/sunil-sajawat-kakaj-kendra/,2023-05-28,Published
"B.P MANDAL COLLEGE OF ENGINEERING, MADHEPURA",Colleges,Engineering College Madhepura,Near karpoori thakur medical College and hospital,9100000,910000,24 hours open,Sunday close,For Engeneering students,,,,25.932916,86.795526,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230527163151-scaled.jpg,b-p-mandal-college-of-engineering-madhepura,https://mymadhepura.com/listing/b-p-mandal-college-of-engineering-madhepura/,2023-05-28,Published
New Aditya medical hall,Chemist,"Dolo,saridon,combiflon ,etc",Purani bus stand Madhepura,919472826844,919472826844,,Sunday close,"Dr Manoj kumar general physician and kidney , lover ,bybites",,,,25.932916,86.795526,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230523212752-scaled.jpg,new-aditya-medical-hall,https://mymadhepura.com/listing/new-aditya-medical-hall/,2023-05-28,Published
ADITYA AAROGYA BABY CARE CENTER,Doctors,Baby doctor,Purani bus stand Madhepura,918519063485,918519063485,10am opening and closing time 9pm,,Baby care doctor,,,,25.933896,86.795264,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230523212721-scaled.jpg,aditya-aarogya-baby-care-center,https://mymadhepura.com/listing/aditya-aarogya-baby-care-center/,2023-05-28,Published
Veshnav hotel marwadi,Restaurants,"Khana (Dal, chawal,samjhi,papar,aachar,paneer ki sabji,",Purani bus stand Madhepura,919472395071,919472395071,,,"Veshnav hotel marwadi (Khana , nasta ki uttam praband)",,,,25.933601,86.795364,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230523212603-scaled.jpg,veshnav-hotel-marwadi,https://mymadhepura.com/listing/veshnav-hotel-marwadi/,2023-05-28,Published
SHIV JANKI MEMORIAL HOSPITAL,Hospitals,Hospital,Near Bus stand Madhepura,919531284590,919531284590,24 hours open,,Hospital,,,,25.933601,86.795364,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230523212442-scaled.jpg,shiv-janki-memorial-hospital,https://mymadhepura.com/listing/shiv-janki-memorial-hospital/,2023-05-28,Published
Druvit hospital,Hospitals,dr.dilip kumar,College chowk Madhepura,919608830048,919608830048,9am opening time and closing time 9pm,,Hospital,,,,25.933426,86.795412,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230523212357-scaled.jpg,druvit-hospital,https://mymadhepura.com/listing/druvit-hospital/,2023-05-29,Published
Sri SHYAM MEDICAL (SULTANIYA BROTHERS),Chemist,All types of medicine are here,Main market near state Bank road,919939235890,919939235890,10am opening and closing time 9pm,,"Dolo, saridon,Combiflone,all types of medicine",,,,25.933426,86.795412,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230529213925-scaled.jpg,sri-shyam-medical-sultaniya-brothers,https://mymadhepura.com/listing/sri-shyam-medical-sultaniya-brothers/,2023-05-29,Published
MUSIC JUNCTION,Automobile,All types of phone are available here,Main market near state Bank road 🛣️,919122235122,919122235122,9am opening time and closing time 9pm,,"iPhone,one-plus,samsung, Xiaomi, vivo,oppo,all brands phones are available here",,,,25.933426,86.795412,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230529213947-scaled.jpg,music-junction,https://mymadhepura.com/listing/music-junction/,2023-05-29,Published
SONA COMUNICATION,Automobile,All types of phone and charger are here must visit once,Main market near chanda mama dresses,919524806928,919524806928,,,"Oppo,vivo,iPhone, one-plus, samsung,tacno,infinix,",,,,25.933601,86.795364,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230529204149-scaled.jpg,sona-comunication,https://mymadhepura.com/listing/sona-comunication/,2023-05-29,Published
MAA SARSWATI FURNITURE,Others,"Maa Saraswati furniture
All types of woods items are available here",Karpoori chowk near MaDhEpuRa public school,919334804286,919334804286,9am opening time and closing time 9pm,,"Palang ,kursi,table,Godrage,etc",,,,25.932916,86.795526,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519142210-scaled.jpg,maa-sarswati-furniture,https://mymadhepura.com/listing/maa-sarswati-furniture/,2023-05-29,Published
Chanda mama dresses,Fashion,"Boys, jeans ,kids jeans ,shirts,
Men's wear
Women's wear are available here

Must visit once",Main market near makhan bhog sweets,916202405035,916202405035,9am opening time and closing time 9pm,,All types of girls and boys dresses are here,,,,25.932535,86.795561,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230529203804-scaled.jpg,chanda-mama-dresses,https://mymadhepura.com/listing/chanda-mama-dresses/,2023-05-29,Published
Dayal bhagh footwear,Others,Shoes and slippers shop,Main market near Sunil Puja dukan,919576509150,919576509150,,,"Nike sleepers,boys shoes,simple slippers and shoes shop",,,,25.932535,86.795561,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230529171559-scaled.jpg,dayal-bhagh-footwear,https://mymadhepura.com/listing/dayal-bhagh-footwear/,2023-05-29,Published
MADHEPURA PUBLIC SCHOOL,Schools,School,Karpoori chowk near station road,919006109321,919006109321,,,Based on CBSE patern (1to 8),,,,25.933426,86.795412,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519142336-scaled.jpg,madhepura-public-school,https://mymadhepura.com/listing/madhepura-public-school/,2023-05-30,Published
Maa Kali furniture,Others,Furniture shop must visit once,KARPOORI CHOWK NEAR MAIN MARKET,916203749296,916203749296,9am opening time and closing time 9pm,,"Hans made palang, Kursi,almira,etc",,,,25.933896,86.795264,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519142550-scaled.jpg,maa-kali-furniture,https://mymadhepura.com/listing/maa-kali-furniture/,2023-05-30,Published
Shalom mission school,Schools,School,Karpoori chowk near station road,919535869421,919535869421,,,CBSE based school (1to 10th ),,,,25.933426,86.795412,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519142722-scaled.jpg,shalom-mission-school,https://mymadhepura.com/listing/shalom-mission-school/,2023-05-30,Published
MAA GAYATRI FURNITURE,Others,"All types of palang , Godrage, table, chairs, and many more items are here must visit once.",Karpoori chowk near station road,919570524542,919570524542,,,"Hand made Palang, chair,table,Godrage,etc",,,,25.933896,86.795264,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519143107-scaled.jpg,maa-gayatri-furniture,https://mymadhepura.com/listing/maa-gayatri-furniture/,2023-05-30,Published
